Data_Type,p,mc,synmc,TargetType,Target,Metric,Synth_Family,rel_orig,rel_synth,reinforcement_ratio
parametric,6,4,3,Categorical,C2,Accuracy,svm,0.9805003716725827,0.8246312161257542,0.8410310081974373
parametric,6,4,3,Categorical,C2,F1,svm,0.9638162055693805,0.823765399519565,0.8546913765917853
parametric,6,4,3,Categorical,C2,Specificity,svm,0.9906225104598757,0.9085093638105917,0.917109549013615
parametric,6,4,3,Continuous,X1,MAE,svm,0.9163799015743005,0.47841568457736444,0.5220713415423748
parametric,6,4,3,Continuous,X1,RMSE,svm,0.9135985753162652,0.5959334173838008,0.6522924110050231
parametric,6,4,3,Continuous,X1,R_squared,svm,0.8349226581705724,0.35571078868521827,0.4260404065025955
parametric,6,4,3,Continuous,X2,MAE,svm,0.9670092638098784,0.8463854810817942,0.875260985346879
parametric,6,4,3,Continuous,X2,RMSE,svm,0.9666159461502651,0.8521478257060237,0.8815784894713015
parametric,6,4,3,Continuous,X2,R_squared,svm,0.9347661747982527,0.7260560765122264,0.7767248067881023
parametric,6,4,4,Categorical,C2,Accuracy,svm,0.9805003716725827,0.8130621431035033,0.8292318560946025
parametric,6,4,4,Categorical,C2,F1,svm,0.9638162055693805,0.8121272898938814,0.8426163465617514
parametric,6,4,4,Categorical,C2,Specificity,svm,0.9906225104598757,0.902891201229966,0.9114382034492814
parametric,6,4,4,Continuous,X1,MAE,svm,0.9163799015743005,0.49861477497201684,0.5441136084667707
parametric,6,4,4,Continuous,X1,RMSE,svm,0.9135985753162652,0.6181072768333463,0.6765633107728664
parametric,6,4,4,Continuous,X1,R_squared,svm,0.8349226581705724,0.3828213754889454,0.45851118273368985
parametric,6,4,4,Continuous,X2,MAE,svm,0.9670092638098784,0.8335270970154361,0.8619639213501
parametric,6,4,4,Continuous,X2,RMSE,svm,0.9666159461502651,0.8480898430125485,0.8773803560661608
parametric,6,4,4,Continuous,X2,R_squared,svm,0.9347661747982527,0.7198384320059984,0.7700732561930352
parametric,6,4,5,Categorical,C2,Accuracy,svm,0.9805003716725827,0.81681514887225,0.8330594994868682
parametric,6,4,5,Categorical,C2,F1,svm,0.9638162055693805,0.8162431045726223,0.8468866780367337
parametric,6,4,5,Categorical,C2,Specificity,svm,0.9906225104598757,0.9055944996042726,0.9141670919469308
parametric,6,4,5,Continuous,X1,MAE,svm,0.9163799015743005,0.5000345184679802,0.5456629042266672
