Data_Type,TargetType,Metric,Synth_Family,Pred_Family,same_family,n_clusters,estimate,std_error,conf_low,conf_high,p_boot
hierarchical,Continuous,R_squared,svm,cart,FALSE,15,-0.018869384380980535,0.005274531536269851,-0.02993427075001351,-0.009214207145503587,4e-4
hierarchical,Continuous,R_squared,svm,parm,FALSE,15,0.33582857769893404,0.04680575579664851,0.24192854728156954,0.42592772471703555,4e-4
hierarchical,Continuous,R_squared,svm,svm,TRUE,15,0.576128389007631,0.07260394795845486,0.43200073129852057,0.7165289566143432,4e-4
parametric,Categorical,Accuracy,bn,bn,TRUE,15,0.16112133091831363,0.011213108070347056,0.13949860895792968,0.18374889660547164,4e-4
parametric,Categorical,Accuracy,bn,cart,FALSE,15,0.10046964752253536,0.007318075566613597,0.08695096822285504,0.11529940248866706,4e-4
parametric,Categorical,Accuracy,bn,parm,FALSE,15,-0.0030629848418471375,5.558802852255164e-4,-0.004138232616129276,-0.0020010617744260217,4e-4
parametric,Categorical,Accuracy,bn,svm,FALSE,15,0.05687378924469145,0.004742339985399947,0.04803915196321141,0.06655397185849012,4e-4
parametric,Categorical,Accuracy,cart,bn,FALSE,15,0.06881458521734996,0.006239253067103005,0.05679985216802356,0.08121763863005056,4e-4
parametric,Categorical,Accuracy,cart,cart,TRUE,15,0.08886812281129326,0.0066506881899425,0.076427784504036,0.10230346591033526,4e-4
parametric,Categorical,Accuracy,cart,parm,FALSE,15,-0.0014361245235056587,4.097465562942639e-4,-0.002309466937082787,-7.153238365823162e-4,4e-4
parametric,Categorical,Accuracy,cart,svm,FALSE,15,0.05890631245555083,0.004812841338819585,0.04975397210496101,0.06836754960643614,4e-4
parametric,Categorical,Accuracy,parm,bn,FALSE,15,0.05453930356942502,0.004859330391662051,0.045107366856654604,0.06388287381644438,4e-4
parametric,Categorical,Accuracy,parm,cart,FALSE,15,0.0513802396102298,0.005034003580343807,0.04171183611687245,0.06151092790964835,4e-4
parametric,Categorical,Accuracy,parm,parm,TRUE,15,-6.500341901595183e-5,3.463885093620709e-5,-1.428746668104535e-4,-7.743767568988917e-6,0.0188
parametric,Categorical,Accuracy,parm,svm,FALSE,15,0.05067353217522051,0.005069122222375104,0.04107757350980033,0.060744014751716945,4e-4
parametric,Categorical,Accuracy,svm,bn,FALSE,15,0.03397839883278013,0.016514089531509027,0.002081158574348406,0.06664053453734402,0.0364
parametric,Categorical,Accuracy,svm,cart,FALSE,15,0.07448261579890482,0.006291491876399934,0.06236006364855155,0.08702620412632237,4e-4
parametric,Categorical,Accuracy,svm,parm,FALSE,15,-0.057673393888396006,0.01612570522241272,-0.08965971161235683,-0.027024178032616145,4e-4
parametric,Categorical,Accuracy,svm,svm,TRUE,15,0.026733864444207726,0.00761736254973919,0.012181904510545764,0.04178619099505481,4e-4
parametric,Categorical,F1,bn,bn,TRUE,15,0.19503714520547066,0.011335690291126658,0.17330199405073973,0.21758672787247457,4e-4
parametric,Categorical,F1,bn,cart,FALSE,15,0.11283756455272027,0.008233405848579851,0.0975501641021975,0.1300169626238892,4e-4
parametric,Categorical,F1,bn,parm,FALSE,15,-0.005825537891784597,0.0034736157679768533,-0.01344065900335608,4.029575980549029e-4,0.072
parametric,Categorical,F1,bn,svm,FALSE,15,0.06642435606520934,0.006853779873248318,0.05575690037664715,0.08170948106613346,4e-4
parametric,Categorical,F1,cart,bn,FALSE,15,0.07821835815116579,0.005712853216827899,0.06721314888637883,0.08912808119348196,4e-4
parametric,Categorical,F1,cart,cart,TRUE,15,0.11192142899130723,0.007595523195946179,0.0978301917138673,0.1272325813224303,4e-4
parametric,Categorical,F1,cart,parm,FALSE,15,-0.0033807647789652956,0.002844397976318607,-0.00895466764961941,0.0024005012666907656,0.2252
parametric,Categorical,F1,cart,svm,FALSE,15,0.0741539046788067,0.006122158810375748,0.06350882443335158,0.0873384924756731,4e-4
parametric,Categorical,F1,parm,bn,FALSE,15,0.064836591167334,0.0068302230515208985,0.05214951906028116,0.07880108969287983,4e-4
parametric,Categorical,F1,parm,cart,FALSE,15,0.060492275023215816,0.006311948840166208,0.04920395360732445,0.07370091526548714,4e-4
parametric,Categorical,F1,parm,parm,TRUE,15,-0.001216609108249704,0.0013823951751017222,-0.0042994676578103855,8.284132704480184e-4,0.4188
parametric,Categorical,F1,parm,svm,FALSE,15,0.06086496687231508,0.006887807388328919,0.04891537457911932,0.07570042880282446,4e-4
parametric,Categorical,F1,svm,bn,FALSE,15,0.035835260423232713,0.017062667527785867,0.002358358715305762,0.06934623768268554,0.034
parametric,Categorical,F1,svm,cart,FALSE,15,0.09435078351532425,0.00869325364742655,0.07741066564255189,0.11201002002661384,4e-4
parametric,Categorical,F1,svm,parm,FALSE,15,-0.061113709952330904,0.01722964554883733,-0.09543666829887089,-0.028244475530160938,4e-4
parametric,Categorical,F1,svm,svm,TRUE,15,0.042232802120057186,0.007132588473135762,0.027828015393379077,0.05558287495087753,4e-4
parametric,Categorical,Specificity,bn,bn,TRUE,15,0.06219247843396096,0.008214996360728784,0.04510288192975154,0.07739537562938234,4e-4
