Data_Type,p,TargetType,Metric,Synth_Family,Pred_Family,same_family,n_clusters,estimate,std_error,conf_low,conf_high,p_boot
hierarchical,12,Categorical,Accuracy,svm,cart,FALSE,5,-0.022119806465259725,0.002826466308494935,-0.027544365355420136,-0.016695247575099315,4e-4
hierarchical,12,Categorical,Accuracy,svm,parm,FALSE,5,0.13319078978857535,0.030526530209701197,0.06495863784083294,0.1729691262526023,0.0016
hierarchical,12,Categorical,Accuracy,svm,svm,TRUE,5,0.05398016632544813,0.02466106887337781,0.0030392354000399716,0.09680511522463407,0.0432
hierarchical,12,Categorical,F1,bn,bn,TRUE,5,0.2383907121074446,0.016304074859155138,0.2058803042241796,0.2696162950056298,4e-4
hierarchical,12,Categorical,F1,bn,cart,FALSE,5,-0.02194255492377194,0.004954220354382175,-0.0330282365165766,-0.014386347708253183,4e-4
hierarchical,12,Categorical,F1,bn,parm,FALSE,5,0.17779804141635625,0.009111329016428927,0.16187482690469435,0.19776155781938146,4e-4
hierarchical,12,Categorical,F1,bn,svm,FALSE,5,0.06188993669203546,0.010015705964022882,0.047391031229527626,0.08399792592401445,4e-4
hierarchical,12,Categorical,F1,cart,bn,FALSE,5,0.010670268611278668,0.0037756793389680165,0.0037390462222887484,0.018080920690194357,0.0016
hierarchical,12,Categorical,F1,cart,cart,TRUE,5,0,0,0,0,1
hierarchical,12,Categorical,F1,cart,parm,FALSE,5,0.0060272916754040996,0.00415550927606921,-0.001857045658081534,0.013911629008889733,0.1564
hierarchical,12,Categorical,F1,cart,svm,FALSE,5,-0.002170687150522032,0.0022164007455751818,-0.005713035661131944,0.0027084610965871572,0.3604
hierarchical,12,Categorical,F1,parm,bn,FALSE,5,0.028660135945132992,0.018492788575956973,-0.006219431269602143,0.06389212306348693,0.1176
hierarchical,12,Categorical,F1,parm,cart,FALSE,5,-0.1129578832682669,0.00911557156940656,-0.12985066236046813,-0.09475624560532077,4e-4
hierarchical,12,Categorical,F1,parm,parm,TRUE,5,0.2282371446905033,0.013177895969411844,0.20087784329601122,0.2516170771218654,4e-4
hierarchical,12,Categorical,F1,parm,svm,FALSE,5,0.035688578275700586,0.006652573793854302,0.025209818774521754,0.05060332272906718,4e-4
hierarchical,12,Categorical,F1,svm,bn,FALSE,5,0.0972866263148202,0.024298358501451914,0.04401330230664679,0.1446776875607409,4e-4
hierarchical,12,Categorical,F1,svm,cart,FALSE,5,-0.025436742219318683,0.0030459670089953237,-0.031443652417268535,-0.019429832021368835,4e-4
hierarchical,12,Categorical,F1,svm,parm,FALSE,5,0.13465729652834713,0.03057211000265136,0.06768946870042525,0.17703255926981212,4e-4
hierarchical,12,Categorical,F1,svm,svm,TRUE,5,0.05572078656979517,0.02505101130112237,0.00430066505324208,0.1004686778818094,0.0432
hierarchical,12,Categorical,Specificity,bn,bn,TRUE,5,0.09526292143029526,0.013212785791313832,0.06869484626010819,0.11934638337168244,4e-4
hierarchical,12,Categorical,Specificity,bn,cart,FALSE,5,-0.008156286333594975,0.001839024987631524,-0.011630728149249273,-0.004681844517940679,4e-4
hierarchical,12,Categorical,Specificity,bn,parm,FALSE,5,0.07102768979875308,0.00827029036597299,0.05450341172837707,0.08689221225918353,4e-4
hierarchical,12,Categorical,Specificity,bn,svm,FALSE,5,0.018899572397343273,0.0025682863835008855,0.013754128246012113,0.02400451200755579,4e-4
hierarchical,12,Categorical,Specificity,cart,bn,FALSE,5,0.011845012058420059,0.003758065418048779,0.004390194555491548,0.018892573604521453,0.0016
