Data_Type,p,mc,TargetType,Target,Metric,Synthesis_Model,Synth_Family,matched_rel_orig,matched_delta,off_diagonal_delta,n_off_diagonal,diagonal_advantage,ceiling_constrained
hierarchical,18,1,Categorical,C9,Accuracy,svmhiersyn,svm,0.9830678217773946,0.0169321782226054,0.08366869923509232,3,-0.06673652101248692,FALSE
hierarchical,18,1,Categorical,C9,F1,bnhiersyn,bn,0.7292194465521135,0.2658952132335739,3.040630031952262e-4,3,0.26559115023037866,FALSE
hierarchical,18,1,Categorical,C9,F1,carthiersyn,cart,1,0,0.028413208575866416,3,-0.028413208575866416,TRUE
hierarchical,18,1,Categorical,C9,F1,parmhiersyn,parm,0.8028510863975526,0.19714891360244735,-0.07686980773699376,3,0.2740187213394411,FALSE
hierarchical,18,1,Categorical,C9,F1,svmhiersyn,svm,0.9813191808658683,0.018680819134131665,0.06635017483483517,3,-0.047669355700703506,FALSE
hierarchical,18,1,Categorical,C9,Specificity,bnhiersyn,bn,0.8877250700052977,0.11136306149793126,-0.0043124036221452965,3,0.11567546512007656,FALSE
hierarchical,18,1,Categorical,C9,Specificity,carthiersyn,cart,1,0,0.006613666350018529,3,-0.006613666350018529,TRUE
hierarchical,18,1,Categorical,C9,Specificity,parmhiersyn,parm,0.8990412557889434,0.10095874421105655,-0.05840361973245082,3,0.15936236394350736,FALSE
hierarchical,18,1,Categorical,C9,Specificity,svmhiersyn,svm,0.9809359724928522,0.017866462306008746,0.04332700236079385,3,-0.025460540054785104,FALSE
hierarchical,18,1,Continuous,X3,MAE,carthiersyn,cart,1,0,0.02888189003050072,2,-0.02888189003050072,TRUE
hierarchical,18,1,Continuous,X3,MAE,parmhiersyn,parm,0.04917197819695824,0.9508280218030417,0.3494001993122818,2,0.6014278224907599,FALSE
hierarchical,18,1,Continuous,X3,MAE,svmhiersyn,svm,0.11179731121046942,0.5833372688358098,0.22232773792014504,2,0.3610095309156648,FALSE
hierarchical,18,1,Continuous,X3,RMSE,carthiersyn,cart,1,0,0.04701103578390997,2,-0.04701103578390997,TRUE
hierarchical,18,1,Continuous,X3,RMSE,parmhiersyn,parm,0.06183072137580241,0.9381692786241976,0.348157451453707,2,0.5900118271704906,FALSE
hierarchical,18,1,Continuous,X3,RMSE,svmhiersyn,svm,0.11265994150087036,0.6685418910778445,0.2617522187499903,2,0.4067896723278542,FALSE
hierarchical,18,1,Continuous,X3,R_squared,carthiersyn,cart,1,0,0.011356565700437957,2,-0.011356565700437957,TRUE
hierarchical,18,1,Continuous,X3,R_squared,parmhiersyn,parm,0.0039021815912591296,0.9960978184087409,0.31651635353114965,2,0.6795814648775913,FALSE
hierarchical,18,1,Continuous,X3,R_squared,svmhiersyn,svm,0.012957799054361627,0.5981815225136091,0.16959807103045738,2,0.42858345148315174,FALSE
hierarchical,18,1,Continuous,X6,MAE,carthiersyn,cart,1,0,0.15242176758065001,2,-0.15242176758065001,TRUE
hierarchical,18,1,Continuous,X6,MAE,parmhiersyn,parm,0.10349129999736817,0.8965087000026318,0.3197944306469147,2,0.5767142693557171,FALSE
hierarchical,18,1,Continuous,X6,MAE,svmhiersyn,svm,0.273452840986635,0.6867910458435668,0.2907161518740229,2,0.3960748939695439,FALSE
hierarchical,18,1,Continuous,X6,RMSE,carthiersyn,cart,1,0,0.34163978502958203,2,-0.34163978502958203,TRUE
hierarchical,18,1,Continuous,X6,RMSE,parmhiersyn,parm,0.12284956258643158,0.8771504374135685,0.2808839444722397,2,0.5962664929413288,FALSE
hierarchical,18,1,Continuous,X6,RMSE,svmhiersyn,svm,0.3502633360737581,0.6487468030549804,0.2824926525952621,2,0.3662541504597184,FALSE
